,feature,importance_mean,importance_std,val_imp_0,val_imp_1
51,category_venn,-1.914094192473348e-05,3.115898791511418e-05,1.2018045990380699e-05,-5.029992983984766e-05
71,name_nlcsk,-1.9334442692309217e-05,6.627413498050405e-05,4.6939692288194834e-05,-8.560857767281327e-05
7,kdist_diff,-2.3020776193649617e-05,5.196059049750179e-05,2.8939814303852174e-05,-7.498136669115141e-05
65,categories_jaro,-2.4352511575675972e-05,4.0525830947768515e-05,1.6173319372092543e-05,-6.487834252344449e-05
45,city_leven,-2.4725016968707436e-05,4.4309942420217574e-05,1.9584925451510138e-05,-6.903495938892501e-05
59,closest_city_nlcs,-2.5694255807895416e-05,8.774635963315625e-05,6.205210382526083e-05,-0.00011344061544105166
34,address_nlcs,-2.745656231367688e-05,0.00011533951042580481,8.788294811212793e-05,-0.0001427960727394817
68,city_len_diff,-4.480713707977202e-05,6.812793902988279e-05,2.332080195011077e-05,-0.00011293507610965481
28,city_lcs,-4.5367642638849404e-05,8.489006263545651e-05,3.9522419996607105e-05,-0.0001302577052743059
23,closest_city_nleven,-6.588526749345958e-05,0.00011895443218562507,5.3069164692165494e-05,-0.00018483969967908465
